CIE,Nome,Tipo,Diretoria,Endereço,Bairro,Município,Telefone,Email,Total_Alunos,Total_Turmas
568430,ALDEIA ARACA MIRIM,EEI - INDIGENA,REGISTRO,N/A,RIBEIRAO VERMELHO,PARIQUERA-ACU,(13) 38281259,E568430A@EDUCACAO.SP.GOV.BR,17,3
8803,TXONDARO TEKOA  MBAE,EEI - INDIGENA,ITARARE,N/A,BAIRRO DOS VITOR,BARAO DE ANTONINA,N/A,N/A,10,8
100407,ALDEIA RIO BRANCO II,EEI - INDIGENA,REGISTRO,N/A,RIO BRANCO II,CANANEIA,(13) 38281455,E100407A@EDUCACAO.SP.GOV.BR,10,2
100110,ALDEIA KOPENOTI,EEI - INDIGENA,BAURU,"RUA ÁREA RURAL, SN , RUA CEP: 16689-899",AREA RURAL DE NOGUEIRA,AVAI,(14) 998870755,E100110A@EDUCACAO.SP.GOV.BR,48,10
495219,ALDEIA TAKUARI TY,EEI - INDIGENA,REGISTRO,N/A,ACARAU,CANANEIA,(13) 38281259,E495219A@EDUCACAO.SP.GOV.BR,30,3
417439,TXERU BA  e KUA  I,EEI - INDIGENA,SANTOS,N/A,BORACEIA,BERTIOGA,(13) 38676115,E417439A@EDUCACAO.SP.GOV.BR,111,9
482419,ALDEIA YWY PYHAU,EEI - INDIGENA,ITARARE,"RUA BAIRRO DOS VITOR, S/N , RUA CEP: 18490-000",DOS VITOR,BARAO DE ANTONINA,(15) 35318000,DEITR@EDUCACAO.SP.GOV.BR,6,5
127152,ALDEIA BOA VISTA,EEI - INDIGENA,CARAGUATATUBA,N/A,PROMIRIM,UBATUBA,(12) 38450264,E127152A@EDUCACAO.SP.GOV.BR,86,8
343316,KO e JU,EEI - INDIGENA,MIRACATU,N/A,SANTA RITA DO RIBEIRA,MIRACATU,(13) 981750353,DEMIRCIE@EDUCACAO.SP.GOV.BR,37,6
559118,ALDEIA PIACAGUERA,EEI - INDIGENA,SAO VICENTE,N/A,SANTA CRUZ,PERUIBE,(13) 32048751,E559118A@EDUCACAO.SP.GOV.BR,37,11
559097,KUARAY O e A SOL NASCENTE,EEI - INDIGENA,SAO VICENTE,N/A,ALDEIA ITAOCA,MONGAGUA,N/A,E559097A@EDUCACAO.SP.GOV.BR,36,10
469798,ALDEIA TEKOA MIRIM,EEI - INDIGENA,SAO VICENTE,"RUA SERRA DA LEOA, SN , PARALELA A RODOVIA GOVERNADOR MARIO COVAS  CEP: 11717-900",ALDEIA TEKOA MIRIM,PRAIA GRANDE,N/A,E469798A@EDUCACAO.SP.GOV.BR,19,4
395365,INDIA MARIA ROSA,EEI - INDIGENA,PENAPOLIS,N/A,GUAPORANGA,BRAUNA,(18) 36920217,E395365A@EDUCACAO.SP.GOV.BR,15,5
566044,TAGUATO AGUIA,EEI - INDIGENA,MIRACATU,N/A,TOCA DO BUGIO,IGUAPE,(13) 38477042,E566044A@EDUCACAO.SP.GOV.BR,23,6
559210,DJEKUPE AMBA ARANDY,EEI - INDIGENA,NORTE 1,N/A,VILA JARAGUA,SAO PAULO,(11) 39035924,E559210A@EDUCACAO.SP.GOV.BR,249,19
127164,ALDEIA GWAWIRA,EEI - INDIGENA,MIRACATU,N/A,SABAUNA,IGUAPE,(13) 997515190,DEMIRCIE@EDUCACAO.SP.GOV.BR,16,4
100262,ALDEIA RIO DO AZEITE,EEI - INDIGENA,MIRACATU,"RUA RIO DO AZEITE, SN , RUA CEP: 11760-000",RIO DO AZEITE,ITARIRI,(13) 997568412,DEMIRCIE@EDUCACAO.SP.GOV.BR,6,2
268574,ALDEIA KARUGWA,EEI - INDIGENA,ITARARE,N/A,BAIRRO DOS VITOR,BARAO DE ANTONINA,(15) 996067747,DEITR@EDUCACAO.SP.GOV.BR,18,12
559076,ALDEIA PINDO TY,EEI - INDIGENA,REGISTRO,N/A,LINHA JURUBATUBA,PARIQUERA-ACU,(13) 38281259,E559076A@EDUCACAO.SP.GOV.BR,28,4
499523,ALDEIA TAQUARI,EEI - INDIGENA,REGISTRO,"RUA BAIRRO TAQUARI, SN , RUA CEP: 11960-000",TAQUARI,ELDORADO,(13) 32048850,E499523A@EDUCACAO.SP.GOV.BR,15,4
559106,ALDEIA AGUAPEU,EEI - INDIGENA,SAO VICENTE,N/A,AGUAPEU,MONGAGUA,N/A,E559106A@EDUCACAO.SP.GOV.BR,55,13
194906,ALDEIA DJAIKOATY,EEI - INDIGENA,MIRACATU,N/A,BAIRRO LAMBARI,MIRACATU,N/A,E194906A@EDUCACAO.SP.GOV.BR,5,3
127176,ALDEIA URUITY,EEI - INDIGENA,MIRACATU,N/A,BAIRRO MUSACEA,MIRACATU,(13) 981527202,DEMIRCIE@EDUCACAO.SP.GOV.BR,4,3
534924,ALDEIA BANANAL,EEI - INDIGENA,SAO VICENTE,N/A,BAMBU,PERUIBE,(13) 32048801,E534924A@EDUCACAO.SP.GOV.BR,6,2
100948,ALDEIA RIO BRANCO,EEI - INDIGENA,SAO VICENTE,"RUA ALDEIA RIO BRANCO, SN , RUA CEP: 11740-000",RIO BRANCO,ITANHAEM,N/A,E100948A@EDUCACAO.SP.GOV.BR,31,13
100195,ALDEIA EKERUA,EEI - INDIGENA,BAURU,"RUA ALDEIA EKERUA, SN , RUA CEP: 16680-000",ALDEIA EKERUA,AVAI,(14) 57040388,E100195A@EDUCACAO.SP.GOV.BR,36,10
100146,ALDEIA NIMUENDAJU,EEI - INDIGENA,BAURU,"RUA POSTO INDIGENA NIMUENDAJU, SN , RUA CEP: 16680-000",ALDEIA NIMUENDAJU,AVAI,(14) 57040389,E100146A@EDUCACAO.SP.GOV.BR,33,10
559088,ALDEIA PEGUAO TY,EEI - INDIGENA,REGISTRO,"RUA PARQUE ESTADUAL INTERVALES, SN , RUA CEP: 11910-000",SAIBADELA,SETE BARRAS,(13) 32048602,E559088A@EDUCACAO.SP.GOV.BR,19,4
925135,INDIGENA GUARANI GWYRA PEPO,EEI - INDIGENA,SUL 3,N/A,CIPO DO MEIO,SAO PAULO,(11) 59784545,E925135A@EDUCACAO.SP.GOV.BR,296,12
7734,CLASSES VINCULADAS A EE OMAR DONATO BASSANI,EEI - INDIGENA,SAO BERNARDO DO CAMPO,N/A,CURUCUTU,SAO BERNARDO DO CAMPO,N/A,N/A,67,8
103100,KRUKUTU,EEI - INDIGENA,SUL 3,N/A,BARRAGEM,SAO PAULO,(11) 59784796,E103100A@EDUCACAO.SP.GOV.BR,101,12
